sample_id,mode,model_latency_ms,retrieval_latency_ms,total_latency_ms,includes_network_request
case_001,offline_replay,offline_replay,0.6873,0.6996,False
case_002,offline_replay,offline_replay,0.7409,0.7509,False
case_003,offline_replay,offline_replay,0.5907,0.5977,False
case_004,offline_replay,offline_replay,0.5538,0.5611,False
case_005,offline_replay,offline_replay,0.5852,0.5923,False
case_006,offline_replay,offline_replay,0.6059,0.6124,False
case_007,offline_replay,offline_replay,0.5234,0.5303,False
case_008,offline_replay,offline_replay,0.5332,0.5429,False
case_009,offline_replay,offline_replay,0.5331,0.54,False
case_010,offline_replay,offline_replay,0.5243,0.5308,False
